pl_name,default_flag,tran_flag,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_kmag,sy_kmagerr1,sy_kmagerr2
55 Cnc e,1,1,Published Confirmed,0,0.7365474,0.0000013,-0.0000014,0,0.01544,0.00005,-0.00005,0,0.1672763,0.00258721,-0.00258721,0,0.02513923,0.00100683,-0.00103829,0,Mass,6.66,0.43,-0.4,0,0.05,0.03,-0.03,0,,,,,83.59,0.47,-0.44,0,2457063.21,0.0006,-0.0004,0,0,0.39,0.03,-0.03,0,,,,,,,,,3.52,0.01,-0.01,0,0.0182,0.0002,-0.0002,0,,,,,,,,,86,30.7,-33.4,0,,,,,,,,,5172,18,-18,0,0.943,0.01,-0.01,0,0.905,0.015,-0.015,0,0.35,0.1,-0.1,0,4.43,0.02,-0.02,0,4.015,0.036,-0.036
AU Mic b,1,1,Published Confirmed,0,8.46308,0.00006,-0.00006,0,0.0649,0.0012,-0.0012,0,0.353,0.013,-0.013,0,,,,,,,,,,0.00577,0.00101,-0.00101,0,600,17,-16,0,89.57917,0.37639,-0.37639,0,2458525.041,0.00052,-0.00051,0,1,0.134,0.096,-0.089,0,0.2379,0.01,-0.0099,0,3.4927,0.0074,-0.0067,0,18.79,0.5,-0.59,0,0.0488,0.001,-0.001,0,,,,,2458322.77,0.83,-2.3,0,88.4304,0.0578,-0.0578,0,,,,,,,,,3678,90,-88,0,0.744,0.023,-0.021,0,0.51,0.028,-0.027,0,0.23,0.24,-0.3,0,4.404,0.026,-0.031,0,4.529,0.02,-0.02
AU Mic c,1,1,Published Confirmed,0,18.85969,0.00008,-0.00008,0,0.1108,0.002,-0.002,0,0.225,0.022,-0.022,0,,,,,,,,,,0.00338,0.00164,-0.00164,0,459,13,-12,0,89.22655,0.21654,-0.21654,0,2458342.224,0.0019,-0.0018,0,0,0.3,0.13,-0.19,0,0.097,0.018,-0.017,0,4.236,0.029,-0.029,0,32.05,0.86,-1,0,0.0311,0.0028,-0.0028,0,,,,,2458324,2.9,-3.7,0,223.2844,1.6836,-1.6836,0,,,,,,,,,3678,90,-88,0,0.744,0.023,-0.021,0,0.51,0.028,-0.027,0,0.23,0.24,-0.3,0,4.404,0.026,-0.031,0,4.529,0.02,-0.02
BD+05 4868 A b,1,1,Published Confirmed,0,1.271869,0.000001,-0.000001,0,0.0208,0.0003,-0.0003,0,,,,,0.01950738,,,1,Mass,,,,,,,,,1820,45,-45,0,,,,,2460556.289,0.0003,-0.0003,0,0,,,,,1.4,0.6,-0.6,0,,,,,6.4,0.2,-0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,4596,65,-64,0,0.69,0.02,-0.02,0,0.7,0.02,-0.02,0,-0.05,0.08,-0.05,0,4.6,0.03,-0.02,0,7.448,0.026,-0.026
BD+20 594 b,1,1,Published Confirmed,0,41.6855,0.003,-0.003,0,,,,,0.23,0.01,-0.01,0,0.07,0.03,-0.03,0,Mass,,,,,0,,,0,,,,,89.55,0.16,-0.16,0,,,,,0,,,,,0.049,0.0025,-0.0025,0,,,,,55.8,3.3,-3.3,0,,,,,,,,,,,,,,,,,,,,,,,,,5766,99,-99,0,1.08,0.06,-0.06,0,1.67,0.4,-0.4,0,-0.15,,,0,4.5,0.08,-0.08,0,9.368,0.018,-0.018
BD-14 3065 b,1,1,Published Confirmed,0,4.2889731,0.0000052,-0.0000052,0,0.0656,0.0026,-0.0026,0,1.926,0.094,-0.094,0,12.37,0.92,-0.87,0,Mass,2.15,0.53,-0.48,0,0.066,0.0098,-0.011,0,2001,31,-31,0,80.78,0.24,-0.3,0,2459313.486,0.00076,-0.00076,0,0,0.9099,0.0092,-0.0079,0,0.649,0.023,-0.02,0,3.086,0.041,-0.041,0,6.01,0.12,-0.13,0,0.0843,0.0023,-0.0022,0,0.0482,0.0091,-0.011,0,,,,,54,6,-9.1,0,,,,,,,,,6935,90,-90,0,2.35,0.08,-0.08,0,1.41,0.05,-0.05,0,-0.34,0.05,-0.05,0,3.85,0.03,-0.03,0,9.932,0.026,-0.026
CoRoT-1 b,1,1,Published Confirmed,0,1.5089557,0.0000064,-0.0000064,0,,,,,1.49,0.08,-0.08,0,1.03,0.12,-0.12,0,Mass,0.38,0.05,-0.05,0,0,,,0,1898,50,-50,0,85.1,0.5,-0.5,0,2454159.453,0.0001,-0.0001,0,0,,,,,1.92654,0.058737,-0.0578552,0,,,,,4.92,0.08,-0.08,0,0.1388,0.0021,-0.0021,0,,,,,,,,,,,,,,,,,,,,,5950,150,-150,0,1.11,0.05,-0.05,0,0.95,0.15,-0.15,0,-0.3,0.25,-0.25,0,4.25,0.3,-0.3,0,12.149,0.027,-0.027
CoRoT-10 b,1,1,Published Confirmed,0,13.2406,0.0002,-0.0002,0,0.1055,0.0021,-0.0021,0,0.97,0.07,-0.07,0,2.75,0.16,-0.16,0,Mass,3.7,0.83,-0.83,0,0.53,0.04,-0.04,0,600,23,-23,0,88.55,0.2,-0.2,0,2454273.344,0.0012,-0.0012,0,0,0.85,0.03,-0.03,0,1.61036,0.0978881,-0.0949999,0,2.98,0.06,-0.06,0,31.33,2.15,-2.15,0,0.1269,0.0038,-0.0038,0,,,,,2454990.85,0.08,-0.08,0,218.9,6.4,-6.4,0,,,,,,,,,5075,75,-75,0,0.79,0.05,-0.05,0,0.89,0.05,-0.05,0,0.26,0.07,-0.07,0,4.65,0.1,-0.1,0,11.782,0.021,-0.021
CoRoT-11 b,1,1,Published Confirmed,0,2.99433,0.000011,-0.000011,0,0.0436,0.005,-0.005,0,1.43,0.03,-0.03,0,2.33,0.34,-0.34,0,Mass,0.99,0.15,-0.15,0,0,,,0,1657,55,-55,0,83.17,0.15,-0.15,0,2454597.679,0.0003,-0.0003,0,0,0.818,0.008,-0.008,0,1.1449,0.010725,-0.010675,0,2.5009,0.0144,-0.0144,0,6.89,0.08,-0.08,0,0.107,0.0005,-0.0005,0,,,,,,,,,,,,,,,,,,,,,6440,120,-120,0,1.37,0.03,-0.03,0,1.27,0.05,-0.05,0,-0.03,0.08,-0.08,0,4.22,0.23,-0.23,0,11.248,0.022,-0.022
CoRoT-12 b,1,1,Published Confirmed,0,2.828042,0.000013,-0.000013,0,0.04016,0.00093,-0.00092,0,1.44,0.13,-0.13,0,0.917,0.07,-0.065,0,Mass,0.411,0.129,-0.094,0,0.07,0.063,-0.042,0,1442,58,-58,0,85.48,0.72,-0.77,0,2454398.627,0.00036,-0.00036,0,0,0.573,0.027,-0.03,0,1.744,0.039,-0.04,0,2.57424,0.02136,-0.0216,0,,,,,,,,,,,,,,,,,105,90,-27,0,,,,,,,,,5675,80,-80,0,1.116,0.096,-0.092,0,1.078,0.077,-0.072,0,0.16,0.1,-0.1,0,4.375,0.065,-0.062,0,13.557,0.042,-0.042
CoRoT-13 b,1,1,Published Confirmed,0,4.03519,0.00003,-0.00003,0,0.051,0.0031,-0.0031,0,0.885,0.014,-0.014,0,1.308,0.066,-0.066,0,Mass,2.34,0.23,-0.23,0,0,,,0,1700,,,0,88.02,0.34,-0.36,0,2454790.809,0.0006,-0.0006,0,0,0.374,0.054,-0.054,0,,,,,3.14,0.01,-0.01,0,10.81,0.32,-0.32,0,0.0909,0.0014,-0.0014,0,,,,,,,,,,,,,,,,,,,,,5945,90,-90,0,1.01,0.03,-0.03,0,1.09,0.02,-0.02,0,0.01,0.07,-0.07,0,4.46,0.05,-0.05,0,13.376,0.039,-0.039
CoRoT-14 b,1,1,Published Confirmed,0,1.51214,0.00013,-0.00013,0,0.027,0.002,-0.002,0,1.09,0.07,-0.07,0,7.6,0.6,-0.6,0,Mass,7.3,1.5,-1.5,0,0,,,0,1952,66,-66,0,79.6,0.8,-0.8,0,2454787.669,0.0053,-0.0053,0,0,0.86,0.02,-0.02,0,,,,,1.662,0.044,-0.044,0,4.78,0.28,-0.28,0,0.0925,0.0019,-0.0019,0,,,,,2454787.67,,,0,,,,,,,,,,,,,6035,100,-100,0,1.21,0.08,-0.08,0,1.13,0.09,-0.09,0,0.05,0.15,-0.15,0,4.35,0.15,-0.15,0,13.806,0.053,-0.053
CoRoT-16 b,1,1,Published Confirmed,0,5.35227,0.0002,-0.0002,0,0.0618,0.0015,-0.0015,0,1.17,0.16,-0.14,0,0.535,0.085,-0.083,0,Mass,0.44,0.21,-0.14,0,0.33,0.09,-0.1,0,,,,,85.01,0.94,-1.2,0,2454923.914,0.0021,-0.0022,0,0,0.825,0.03,-0.039,0,1.02,0.095,-0.092,0,2.39,0.09,-0.09,0,11.2,1.21,-1.09,0,0.101,0.0046,-0.0046,0,,,,,,,,,168.41,22.83,-20.93,0,,,,,,,,,5650,100,-100,0,1.19,0.14,-0.13,0,1.098,0.082,-0.078,0,0.19,0.06,-0.06,0,4.36,0.1,-0.1,0,12.847,0.037,-0.037
CoRoT-17 b,1,1,Published Confirmed,0,3.7681,0.0003,-0.0003,0,0.0461,0.0008,-0.0008,0,1.02,0.07,-0.07,0,2.43,0.3,-0.3,0,Mass,2.82,0.38,-0.38,0,0,,,0,1626,31,-31,0,88.34,1.54,-1.54,0,2454923.309,0.0036,-0.0036,0,0,0.18,0.16,-0.16,0,0.44,,,0,4.72001,0,0,0,6.23,0.24,-0.24,0,,,,,,,,,2454923.309,0.0036,-0.0036,0,0,,,0,,,,,,,,,5740,80,-80,0,1.59,0.07,-0.07,0,1.04,0.1,-0.1,0,0,0.1,-0.1,0,4.4,0.1,-0.1,0,12.472,0.054,-0.054
CoRoT-18 b,1,1,Published Confirmed,0,1.9000693,0.0000028,-0.0000028,0,0.0295,0.0016,-0.0016,0,1.31,0.18,-0.18,0,3.47,0.38,-0.38,0,Mass,2.2,0.8,-0.8,0,0.08,,,1,1550,90,-90,0,86.5,1.4,-0.9,0,2455321.724,0.00018,-0.00018,0,0,0.4,0.08,-0.14,0,,,,,2.387,0.038,-0.038,0,6.35,0.4,-0.4,0,0.1341,0.0019,-0.0019,0,,,,,,,,,,,,,-10,20,-20,0,20,20,-20,0,5440,100,-100,0,1,0.13,-0.13,0,0.95,0.15,-0.15,0,-0.1,0.1,-0.1,0,4.4,0.1,-0.1,0,13.014,0.03,-0.03
CoRoT-19 b,1,1,Published Confirmed,0,3.89713,0.00002,-0.00002,0,0.0518,0.0008,-0.0008,0,1.29,0.03,-0.03,0,1.11,0.06,-0.06,0,Mass,0.71,0.06,-0.06,0,0.047,0.045,-0.045,0,2000,150,-150,0,88,0.7,-0.7,0,2455257.441,0.0006,-0.0006,0,0,0.24,0.08,-0.08,0,,,,,4.7,0.1,-0.1,0,6.7,0.1,-0.1,0,0.0786,0.0004,-0.0004,0,,,,,,,,,,,,,-52,27,-22,0,,,,,6090,70,-70,0,1.65,0.04,-0.04,0,1.21,0.05,-0.05,0,-0.02,0.1,-0.1,0,4.07,0.03,-0.03,0,11.837,0.024,-0.024
CoRoT-2 b,1,1,Published Confirmed,0,1.7429935,0.000001,-0.000001,0,0.02798,0.00076,-0.0008,0,1.466,0.042,-0.044,0,3.47,0.22,-0.22,0,Mass,1.47,0.08,-0.074,0,0.0143,0.0077,-0.0076,0,,,,,88.08,0.18,-0.16,0,2454237.536,0.0002,-0.00021,0,1,0.221,0.017,-0.019,0,2.75,0.012,-0.012,0,2.26704,0.00264,-0.0024,0,,,,,,,,,,,,,2454237.536,0.00014,-0.00014,0,102,17,-5,0,4,6.1,-5.9,0,,,,,5625,120,-120,0,0.906,0.026,-0.027,0,0.96,0.08,-0.08,0,,,,,,,,,10.31,0.031,-0.031
CoRoT-20 b,1,1,Published Confirmed,0,9.24285,0.0003,-0.0003,0,0.09,0.002,-0.002,0,,,,,4.3,0.2,-0.2,0,Mass,,,,,0.59,0.02,-0.02,0,,,,,88.21,0.53,-0.53,0,2455266,0.0014,-0.0014,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.1,2.5,-2.3,0,,,,,,,,,,,,,,,,,1.14,0.08,-0.08,0,,,,,,,,,12.513,0.029,-0.029
CoRoT-21 b,1,1,Published Confirmed,0,2.72474,0.00014,-0.00014,0,0.0417,0.0011,-0.0011,0,1.3,0.14,-0.14,0,2.26,0.31,-0.31,0,Mass,1.36,0.48,-0.48,0,0,,,0,,,,,86.8,2.1,-2.1,0,2454399.028,0.0009,-0.0009,0,0,0.25,0.17,-0.17,0,,,,,4.76,,,0,4.6,0.26,-0.26,0,0.067,0.0018,-0.0018,0,,,,,,,,,,,,,,,,,,,,,6200,100,-100,0,1.95,0.21,-0.21,0,1.29,0.09,-0.09,0,0,0.1,-0.1,0,3.7,0.1,-0.1,0,13.813,0.054,-0.054
CoRoT-22 b,1,1,Published Confirmed,0,9.75598,0.00011,-0.00011,0,0.092,0.0014,-0.0014,0,0.435,0.015,-0.035,0,0.038,0.044,-0.028,0,Mass,0.249,1,-0.097,0,0.077,0.3,-0.042,0,885,53,-280,0,89.749,0.032,-0.9,0,2454598.42,0.00099,-0.00051,0,0,0.012,0.33,-0.033,0,,,,,4.492,0.039,-0.039,0,17.3,1.3,-0.57,0,0.03927,0.0006,-0.00037,0,,,,,,,,,210,70,-30,0,,,,,,,,,5939,54,-120,0,1.136,0.038,-0.09,0,1.099,0.049,-0.049,0,0.17,0.07,-0.12,0,4.361,0.065,-0.029,0,11.988,0.026,-0.026
CoRoT-23 b,1,1,Published Confirmed,0,3.6313,0.0001,-0.0001,0,0.048,0.004,-0.004,0,1.05,0.13,-0.13,0,2.8,0.3,-0.3,0,Mass,3,1.1,-1.1,0,0.16,0.02,-0.02,0,1660,,,0,85.7,2.6,-1.5,0,2455308.939,0.001,-0.001,0,0,0.56,0.1,-0.23,0,,,,,3.888,0.054,-0.054,0,6.85,0.6,-0.6,0,0.0671,0.001,-0.001,0,,,,,,,,,52,9,-9,0,,,,,,,,,5900,100,-100,0,1.61,0.18,-0.18,0,1.14,0.08,-0.08,0,0.05,0.1,-0.1,0,4.3,0.2,-0.2,0,12.364,0.032,-0.032
CoRoT-24 b,1,1,Published Confirmed,0,5.1134,0.0006,-0.0006,0,0.056,0.002,-0.002,0,0.33,0.04,-0.04,0,0.018,,,1,Mass,0.9,,,1,0,,,0,1070,140,-140,0,86.5,2,-2,0,2454789.611,0.006,-0.006,0,0,0.65,0.3,-0.3,0,,,,,2.85,0.25,-0.25,0,10.9,2.8,-2.8,0,0.037,0.0021,-0.0021,0,,,,,,,,,,,,,,,,,,,,,4950,150,-150,0,0.86,0.09,-0.09,0,0.91,0.09,-0.09,0,0.3,0.15,-0.15,0,4.55,0.15,-0.15,0,12.924,0.024,-0.024
CoRoT-24 c,1,1,Published Confirmed,0,11.759,0.0063,-0.0063,0,0.098,0.003,-0.003,0,0.44,0.04,-0.04,0,0.088,0.035,-0.035,0,Mass,1.3,0.5,-0.4,0,0,,,0,850,80,-80,0,89,1,-1.6,0,2454795.38,0.0265,-0.0265,0,0,0.3,0.4,-0.4,0,,,,,4.8,0.2,-0.2,0,18,2.5,-2.5,0,0.05,0.001,-0.001,0,,,,,,,,,,,,,,,,,,,,,4950,150,-150,0,0.86,0.09,-0.09,0,0.91,0.09,-0.09,0,0.3,0.15,-0.15,0,4.55,0.15,-0.15,0,12.924,0.024,-0.024
CoRoT-25 b,1,1,Published Confirmed,0,4.86069,0.00006,-0.00006,0,0.0578,0.002,-0.0009,0,1.08,0.3,-0.1,0,0.27,0.04,-0.04,0,Mass,0.15,0.15,-0.06,0,0,,,0,1330,80,-40,0,84.5,0.8,-0.3,0,2454576.216,0.0008,-0.0008,0,0,0.94,0.04,-0.02,0,,,,,1.92,0.06,-0.07,0,10.2,1.1,-0.5,0,0.085,0.026,-0.002,0,,,,,,,,,,,,,,,,,,,,,6040,90,-90,0,1.19,0.14,-0.03,0,1.09,0.11,-0.05,0,-0.01,0.13,-0.13,0,4.31,0.05,-0.08,0,12.846,0.031,-0.031
CoRoT-26 b,1,1,Published Confirmed,0,4.20474,0.00005,-0.00005,0,0.0526,0.001,-0.001,0,1.26,0.13,-0.07,0,0.52,0.05,-0.05,0,Mass,0.28,0.09,-0.07,0,0,,,0,1600,80,-70,0,86.8,2.2,-1,0,2454573.63,0.0008,-0.0008,0,0,0.33,0.08,-0.23,0,,,,,5.47,0.06,-0.04,0,6.28,0.01,-0.52,0,0.0718,0.001,-0.001,0,,,,,,,,,,,,,,,,,,,,,5590,100,-100,0,1.79,0.18,-0.09,0,1.09,0.06,-0.06,0,0.01,0.13,-0.13,0,3.99,0.05,-0.08,0,13.261,0.034,-0.034
CoRoT-27 b,1,1,Published Confirmed,0,3.57532,0.00006,-0.00006,0,0.0476,0.0066,-0.0066,0,1.007,0.044,-0.044,0,10.39,0.55,-0.55,0,Mass,12.6,1.92,-1.67,0,0.065,,,1,1500,130,-130,0,86.7,1.2,-0.87,0,2455748.684,0.001,-0.001,0,0,0.54,0.09,-0.17,0,,,,,2.77,0.06,-0.06,0,9.48,0.95,-0.75,0,0.099,0.002,-0.002,0,,,,,,,,,,,,,,,,,,,,,5900,120,-120,0,1.08,0.18,-0.06,0,1.05,0.11,-0.11,0,-0.1,0.1,-0.1,0,4.4,0.1,-0.1,0,12.985,0.033,-0.033
CoRoT-28 b,1,1,Published Confirmed,0,5.20851,0.00038,-0.00038,0,0.0603,0.005,-0.005,0,0.955,0.066,-0.066,0,0.484,0.087,-0.087,0,Mass,0.69,0.27,-0.27,0,0.047,0.055,-0.038,0,,,,,88.1,0.8,-0.8,0,2455755.847,0.0029,-0.0029,0,0,0.24,0.09,-0.09,0,,,,,5.7,0.09,-0.09,0,7.29,0.16,-0.16,0,0.0551,0.0004,-0.0004,0,,,,,,,,,126,140,-61,0,,,,,,,,,5150,100,-100,0,1.78,0.11,-0.11,0,1.01,0.14,-0.14,0,0.15,0.1,-0.1,0,3.6,0.2,-0.2,0,11.032,0.025,-0.025
CoRoT-29 b,1,1,Published Confirmed,0,2.85057,0.000006,-0.000006,0,0.0386,0.0059,-0.0059,0,0.9,0.16,-0.16,0,0.85,0.2,-0.2,0,Mass,1.45,0.74,-0.74,0,0.082,0.081,-0.081,0,,,,,87.3,2.7,-2.7,0,2455753.115,0.001,-0.001,0,0,0.43,0.44,-0.44,0,,,,,2.19,0.04,-0.04,0,9.22,0.19,-0.19,0,0.1028,0.0043,-0.0043,0,,,,,,,,,87,210,-49,0,,,,,,,,,5260,100,-100,0,0.9,0.12,-0.12,0,0.97,0.14,-0.14,0,0.2,0.1,-0.1,0,4.3,0.2,-0.2,0,13.048,0.031,-0.031
CoRoT-3 b,1,1,Published Confirmed,0,4.2568,0.000005,-0.000005,0,,,,,1.01,0.07,-0.07,0,21.66,1,-1,0,Mass,26.4,5.6,-5.6,0,0,,,0,,,,,85.9,0.8,-0.8,0,2454283.138,0.0003,-0.0003,0,0,0.55,0.08,-0.08,0,,,,,,,,,7.8,0.4,-0.4,0,0.0663,0.0009,-0.0009,0,,,,,,,,,,,,,,,,,,,,,6740,140,-140,0,1.56,0.09,-0.09,0,1.37,0.09,-0.09,0,,,,,4.22,0.07,-0.07,0,11.618,0.034,-0.034
CoRoT-30 b,1,1,Published Confirmed,0,9.06005,0.00024,-0.00024,0,0.0844,0.0012,-0.0012,0,1.009,0.076,-0.076,0,2.9,0.22,-0.22,0,Mass,3.45,0.65,-0.65,0,0.007,0.031,-0.031,0,,,,,90,0.56,-0.56,0,2455665.515,0.0012,-0.0012,0,0,0,0.16,-0.16,0,,,,,,,,,21,1.4,-1.4,0,0.114,0.0032,-0.0032,0,,,,,,,,,178.1,100.2,-100.2,0,,,,,,,,,5650,100,-100,0,0.91,0.09,-0.03,0,0.98,0.03,-0.05,0,0.02,0.1,-0.1,0,4.4,0.1,-0.1,0,13.562,0.045,-0.045
CoRoT-31 b,1,1,Published Confirmed,0,4.62941,0.00075,-0.00075,0,0.0586,0.0034,-0.0034,0,1.46,0.3,-0.3,0,0.84,0.34,-0.34,0,Mass,0.33,0.18,-0.18,0,0.02,0.16,-0.16,0,,,,,83.2,2.3,-2.3,0,2455843.945,0.0044,-0.0044,0,0,0.87,0.27,-0.27,0,,,,,,,,,7.2,2.9,-2.9,0,0.0699,0.0076,-0.0076,0,,,,,,,,,303.6,107.9,-107.9,0,,,,,,,,,5700,120,-120,0,2.15,0.56,-0.66,0,1.25,0.22,-0.21,0,0,0.1,-0.1,0,3.85,0.25,-0.25,0,13.426,0.038,-0.038
CoRoT-32 b,1,1,Published Confirmed,0,6.71837,0.00001,-0.00001,0,0.071,0.001,-0.001,0,0.57,0.06,-0.05,0,0.15,0.1,-0.1,0,Mass,1.1,1.3,-0.8,0,,,,,938,65,-52,0,89,0.5,-0.5,0,2455901.811,0.002,-0.001,0,0,0.4,0.1,-0.2,0,0.29,0.02,-0.02,0,2.496,0.216,-0.168,0,,,,,0.054,0.002,-0.002,0,,,,,,,,,,,,,,,,,,,,,5970,100,-100,0,0.79,0.08,-0.09,0,1.08,0.08,-0.07,0,0,0.2,-0.2,0,4.67,0.11,-0.08,0,12.193,0.027,-0.027
CoRoT-35 b,1,1,Published Confirmed,0,3.22748,0.00008,-0.00008,0,0.0429,0.00092,-0.00092,0,1.68,0.11,-0.11,0,1.1,0.37,-0.37,0,Mass,0.29,0.11,-0.11,0,0,,,0,1747,62,-62,0,84.1,0.1,-0.1,0,2456074.242,0.0018,-0.0018,0,1,0.58,0.06,-0.07,0,1.257,0.034,-0.034,0,4.19,0.08,-0.08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6390,130,-130,0,1.65,0.1,-0.11,0,1.01,0.07,-0.06,0,-0.5,0.1,-0.1,0,4.01,0.05,-0.05,0,12.935,0.029,-0.029
CoRoT-36 b,1,1,Published Confirmed,0,5.616531,0.000023,-0.000023,0,0.066,0.007,-0.007,0,1.41,0.14,-0.14,0,0.68,0.47,-0.43,1,Mass,0.25,0.17,-0.17,0,0,,,0,1567,35,-35,0,85.83,0.26,-0.26,0,2455662.522,0.00034,-0.00034,0,0,0.573,0.023,-0.025,0,1.01,0.011,-0.011,0,4.98,0.07,-0.07,0,,,,,,,,,,,,,,,,,,,,,275.8,11.3,-11.3,0,,,,,6730,140,-140,0,1.52,0.2,-0.1,0,1.32,0.09,-0.09,0,-0.1,0.1,-0.1,0,4.16,0.06,-0.06,0,11.592,0.021,-0.021
CoRoT-4 b,1,1,Published Confirmed,0,9.20205,0.00037,-0.00037,0,0.09,0.001,-0.001,0,1.19,0.06,-0.05,0,0.72,0.08,-0.08,0,Mass,0.525,0.15,-0.15,0,0,0.1,-0.1,0,1074,19,-19,0,90,0,-0.085,0,2454141.364,0.00089,-0.00089,0,0,,,,,,,,,,,,,17.36,0.05,-0.25,0,0.1047,0.0041,-0.0022,0,,,,,,,,,,,,,,,,,,,,,6190,60,-60,0,1.17,0.01,-0.03,0,1.16,0.03,-0.02,0,,,,,4.41,0.05,-0.05,0,12.288,0.03,-0.03
CoRoT-5 b,1,1,Published Confirmed,0,4.0378962,0.0000019,-0.0000019,0,0.04947,0.00026,-0.00029,0,1.388,0.046,-0.047,0,0.467,0.047,-0.024,0,Mass,0.217,0.031,-0.025,0,0.09,0.09,-0.04,0,1438,39,-39,0,85.83,0.99,-1.38,0,2454400.199,0.0002,-0.0002,0,0,0.755,0.017,-0.022,0,1.461,0.03,-0.032,0,,,,,,,,,,,,,,,,,,,,,-128.34,289.34,-48.13,0,,,,,,,,,6100,65,-65,0,1.186,0.04,-0.04,0,1,0.02,-0.02,0,-0.25,0.06,-0.06,0,4.19,0.03,-0.03,0,12.546,0.026,-0.026
CoRoT-6 b,1,1,Published Confirmed,0,8.886593,0.000004,-0.000004,0,0.0855,0.0015,-0.0015,0,1.166,0.035,-0.035,0,2.96,0.34,-0.34,0,Mass,2.32,0.31,-0.31,0,0.1,,,1,1017,19,-19,0,89.07,0.3,-0.3,0,2454595.614,0.0002,-0.0002,0,0,0.291,0.091,-0.091,0,,,,,4.08,0.02,-0.02,0,17.94,0.33,-0.33,0,0.1169,0.0009,-0.0009,0,,,,,,,,,,,,,,,,,,,,,6090,70,-70,0,1.025,0.026,-0.026,0,1.05,0.05,-0.05,0,-0.2,0.1,-0.1,0,4.43,0.1,-0.1,0,12.119,0.024,-0.024
CoRoT-7 b,1,1,Published Confirmed,0,0.85359163,0.000000006,-0.000000006,0,,,,,0.15,0.01,-0.01,0,0.01282637,0.00320869,-0.00320869,0,Mass,,,,,0,,,0,,,,,80.1,0.3,-0.3,0,,,,,0,,,,,0.035,0.0011,-0.0011,0,,,,,4.26,0.21,-0.21,0,,,,,,,,,,,,,,,,,,,,,,,,,5275,75,-75,0,0.83,0.04,-0.04,0,0.82,0.17,-0.17,0,0.05,,,0,4.5,0.1,-0.1,0,9.806,0.021,-0.021
CoRoT-8 b,1,1,Published Confirmed,0,6.21229,0.00003,-0.00003,0,0.063,0.001,-0.001,0,0.57,0.02,-0.02,0,0.22,0.03,-0.03,0,Mass,1.6,0.1,-0.1,0,0,,,0,,,,,88.4,0.1,-0.1,0,2454238.974,0.0004,-0.0004,0,0,0.49,0.04,-0.04,0,0.651,0.007,-0.007,0,2.74,0.02,-0.02,0,17.6,0.4,-0.4,0,0.075,0.001,-0.001,0,,,,,,,,,,,,,,,,,,,,,5080,80,-80,0,0.77,0.02,-0.02,0,0.88,0.04,-0.04,0,0.3,0.1,-0.1,0,4.58,0.08,-0.08,0,11.463,0.021,-0.021
CoRoT-9 b,1,1,Published Confirmed,0,95.272656,0.000068,-0.000068,0,0.4021,0.0054,-0.0054,0,1.066,0.075,-0.063,0,0.84,0.05,-0.05,0,Mass,0.86,0.18,-0.16,0,0.133,0.042,-0.037,0,420,16,-16,0,89.9,0.066,-0.084,0,2455365.527,0.00037,-0.00037,0,0,0.16,0.11,-0.09,0,,,,,8.268,0.0504,-0.0432,0,89.9,5.9,-5.9,0,0.11402,0.00095,-0.00085,0,,,,,,,,,41,31,-24,0,,,,,,,,,5625,80,-80,0,0.96,0.06,-0.06,0,0.96,0.04,-0.04,0,-0.01,0.06,-0.06,0,4.54,0.09,-0.09,0,11.688,0.023,-0.023
