pl_name,default_flag,tran_flag,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_kmag,sy_kmagerr1,sy_kmagerr2
Kepler-330 b,1,1,Published Confirmed,0,8.25978,0.000076,-0.000076,0,0.075,,,0,0.12,0.047,-0.047,0,,,,,,,,,,,,,,,,,,,,,,2454986.983,0.0066,-0.0066,0,0,0.64,0.27,-0.27,0,,,,,3.005,0.201,-0.201,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5117,200,-200,0,0.722,0.267,-0.267,0,,,,,,,,,4.636,0.3,-0.3,0,13.259,0.03,-0.03
Kepler-330 c,1,1,Published Confirmed,0,15.955387,0.000076,-0.000076,0,0.116,,,0,0.174,0.064,-0.064,0,,,,,,,,,,,,,,,,,,,,,,2454976.304,0.00291,-0.00291,0,0,0.22,0.21,-0.21,0,,,,,3.917,0.088,-0.088,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5117,200,-200,0,0.722,0.267,-0.267,0,,,,,,,,,4.636,0.3,-0.3,0,13.259,0.03,-0.03
Kepler-331 b,1,1,Published Confirmed,0,8.457496,0.000024,-0.000024,0,0.065,,,0,0.162,0.017,-0.017,0,,,,,,,,,,,,,,,,,,,,,,2454966.87,0.00185,-0.00185,0,0,0.48,0.24,-0.24,0,,,,,2.304,0.071,-0.071,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4347,200,-200,0,0.492,0.047,-0.047,0,,,,,,,,,4.768,0.3,-0.3,0,13.343,0.035,-0.035
Kepler-331 c,1,1,Published Confirmed,0,17.28111,0.000064,-0.000064,0,0.105,,,0,0.164,0.017,-0.017,0,,,,,,,,,,,,,,,,,,,,,,2454969.008,0.00216,-0.00216,0,0,0.08,0.22,-0.22,0,,,,,2.772,0.071,-0.071,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4347,200,-200,0,0.492,0.047,-0.047,0,,,,,,,,,4.768,0.3,-0.3,0,13.343,0.035,-0.035
Kepler-331 d,1,1,Published Confirmed,0,32.134328,0.000216,-0.000216,0,0.159,,,0,0.146,0.015,-0.015,0,,,,,,,,,,,,,,,,,,,,,,2454975.268,0.00375,-0.00375,0,0,0.29,0.23,-0.23,0,,,,,2.815,0.131,-0.131,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4347,200,-200,0,0.492,0.047,-0.047,0,,,,,,,,,4.768,0.3,-0.3,0,13.343,0.035,-0.035
Kepler-332 b,1,1,Published Confirmed,0,7.626324,0.000028,-0.000028,0,0.07,,,0,0.104,0.007,-0.007,0,,,,,,,,,,,,,,,,,,,,,,2454969.017,0.00221,-0.00221,0,0,0.13,0.23,-0.23,0,,,,,2.37,0.073,-0.073,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4955,100,-100,0,0.72,0.041,-0.041,0,,,,,,,,,4.611,0.15,-0.15,0,11.974,0.018,-0.018
Kepler-332 c,1,1,Published Confirmed,0,15.995622,0.000108,-0.000108,0,0.114,,,0,0.097,0.007,-0.007,0,,,,,,,,,,,,,,,,,,,,,,2454977.238,0.00423,-0.00423,0,0,0.08,0.22,-0.22,0,,,,,3.379,0.127,-0.127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4955,100,-100,0,0.72,0.041,-0.041,0,,,,,,,,,4.611,0.15,-0.15,0,11.974,0.018,-0.018
Kepler-332 d,1,1,Published Confirmed,0,34.21154,0.000326,-0.000326,0,0.189,,,0,0.105,0.007,-0.007,0,,,,,,,,,,,,,,,,,,,,,,2454987.577,0.00584,-0.00584,0,0,0.51,0.24,-0.24,0,,,,,4.709,0.164,-0.164,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4955,100,-100,0,0.72,0.041,-0.041,0,,,,,,,,,4.611,0.15,-0.15,0,11.974,0.018,-0.018
Kepler-333 b,1,1,Published Confirmed,0,12.551158,0.000044,-0.000044,0,0.087,,,0,0.118,0.014,-0.014,0,,,,,,,,,,,,,,,,,,,,,,2454970.261,0.00226,-0.00226,0,0,0.76,0.28,-0.28,0,,,,,3.216,0.07,-0.07,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4259,200,-200,0,0.534,0.054,-0.054,0,,,,,,,,,4.732,0.3,-0.3,0,12.118,0.025,-0.025
Kepler-333 c,1,1,Published Confirmed,0,24.08821,0.000207,-0.000207,0,0.135,,,0,0.099,0.018,-0.018,0,,,,,,,,,,,,,,,,,,,,,,2454967.425,0.00501,-0.00501,0,0,0.74,0.34,-0.34,0,,,,,3.99,0.14,-0.14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4259,200,-200,0,0.534,0.054,-0.054,0,,,,,,,,,4.732,0.3,-0.3,0,12.118,0.025,-0.025
Kepler-334 b,1,1,Published Confirmed,0,5.470319,0.000021,-0.000021,0,0.061,,,0,0.1,0.019,-0.019,0,,,,,,,,,,,,,,,,,,,,,,2454964.495,0.00211,-0.00211,0,0,0.11,0.21,-0.21,0,,,,,3.041,0.066,-0.066,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5828,100,-100,0,1.068,0.194,-0.194,0,,,,,,,,,4.385,0.15,-0.15,0,11.409,0.013,-0.013
Kepler-334 c,1,1,Published Confirmed,0,12.758005,0.000055,-0.000055,0,0.107,,,0,0.128,0.023,-0.023,0,,,,,,,,,,,,,,,,,,,,,,2454966.958,0.00256,-0.00256,0,0,0.03,0.22,-0.22,0,,,,,4.088,0.071,-0.071,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5828,100,-100,0,1.068,0.194,-0.194,0,,,,,,,,,4.385,0.15,-0.15,0,11.409,0.013,-0.013
Kepler-334 d,1,1,Published Confirmed,0,25.09849,0.000142,-0.000142,0,0.168,,,0,0.126,0.023,-0.023,0,,,,,,,,,,,,,,,,,,,,,,2454978.569,0.00345,-0.00345,0,0,0.07,0.22,-0.22,0,,,,,2.767,0.101,-0.101,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5828,100,-100,0,1.068,0.194,-0.194,0,,,,,,,,,4.385,0.15,-0.15,0,11.409,0.013,-0.013
Kepler-335 b,1,1,Published Confirmed,0,6.562331,0.000031,-0.000031,0,0.075,,,0,0.302,0.06,-0.06,0,,,,,,,,,,,,,,,,,,,,,,2454965.606,0.00278,-0.00278,0,0,0.83,0.3,-0.3,0,,,,,4.035,0.067,-0.067,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5877,112,-112,0,1.854,0.35,-0.35,0,,,,,,,,,4.017,0.16,-0.16,0,12.496,0.016,-0.016
Kepler-335 c,1,1,Published Confirmed,0,67.844469,0.001423,-0.001423,0,0.356,,,0,0.274,0.059,-0.059,0,,,,,,,,,,,,,,,,,,,,,,2454982.499,0.01285,-0.01285,0,0,0.77,0.29,-0.29,0,,,,,12.157,0.353,-0.353,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5877,112,-112,0,1.854,0.35,-0.35,0,,,,,,,,,4.017,0.16,-0.16,0,12.496,0.016,-0.016
Kepler-336 b,1,1,Published Confirmed,0,2.024823,0.000017,-0.000017,0,0.033,,,0,0.091,0.017,-0.017,0,,,,,,,,,,,,,,,,,,,,,,2454965.356,0.00475,-0.00475,0,0,0.06,0.23,-0.23,0,,,,,2.762,0.133,-0.133,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5867,100,-100,0,1.304,0.23,-0.23,0,,,,,,,,,4.264,0.15,-0.15,0,12.144,0.022,-0.022
Kepler-336 c,1,1,Published Confirmed,0,9.600001,0.000035,-0.000035,0,0.092,,,0,0.187,0.033,-0.033,0,,,,,,,,,,,,,,,,,,,,,,2454969.582,0.00196,-0.00196,0,0,0.05,0.21,-0.21,0,,,,,4.243,0.06,-0.06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5867,100,-100,0,1.304,0.23,-0.23,0,,,,,,,,,4.264,0.15,-0.15,0,12.144,0.022,-0.022
Kepler-336 d,1,1,Published Confirmed,0,20.678772,0.000102,-0.000102,0,0.154,,,0,0.211,0.043,-0.043,0,,,,,,,,,,,,,,,,,,,,,,2454984.691,0.00286,-0.00286,0,0,0.5,0.35,-0.35,0,,,,,4.515,0.087,-0.087,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5867,100,-100,0,1.304,0.23,-0.23,0,,,,,,,,,4.264,0.15,-0.15,0,12.144,0.022,-0.022
